SqFt,address,age,bath,bedrooms,crime,description,features,floorplan,incm_restr,neighborhood,price,site
,"Brooklyn, NY, 11215, (",1 day on Trulia,1 full Bathroom,1 Bedroom,Lowest,"Luxury Building ~ High end 1brPrime Williamsburg/Greenpoint2 Blocks to L @ Bedford2 Blocks to McCarren ParkSS Appliances Dish washer includedIsland kitchen with Granite c. topMarble bath with deep soaking tubWood Flooring ~ Built in A/CWasher and Dryer hook upVideo intercom ~ ipod mount with built in speakersAmenities :24/7 Doorman w/ Concierge , Furnished Roof top , Elevators ,Fitness center , Laundry Facilities , Lounge and Parking .Guarantors welcomeNet effective rent . One","Price: $3,045; 1 Bedroom; 1 full Bathroom; Multi-Family; Washer; Dryer; Status: For Rent; Concierge; Neighborhood:; Zip:; Provided By:
                          Fiddler Realty; 674 sqft",,,Gowanus,"$3,045/mo",trulia
,"Brooklyn, NY, 11235, (",6 days on Trulia,1 full Bathroom,2 Bedrooms,Lowest,"Kings & Queens NO FEE Apartments are located in the most desirable neighborhoods of Brooklyn and Queens and convenient to shopping, restaurants and major transportation hubs. All buildings feature elevators, central laundry facilities and spacious apartments with wood flooring throughout. Many buildings offer on-site parking and apartments with balconies, charming pre-war details and renovated kitchens and bathrooms.","Price: $2,065; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Realty Operations Group; 985 sqft",,,Sheepshead Bay,"$2,065/mo",trulia
,"Brooklyn, NY, 11207, (",21 days on Trulia,2 full Bathrooms,3 Bedrooms,Low,"3 bedrooms available - 2 bathrooms! 2 bedrooms with balcony - $950no balcony $900this awesome building has laundry, a huge roof deck with a furniture and a beautiful view of the city.treehouse theme throughout the building! walking distance to the jmz trains or the l train aberdeen st.everything you need nearby - grocery, restaurants, coffee shops, delis!one person per room. no couples. no pets.
                      Tenants pay gas and electric.","Price: $950; Deposit:
                          $950; 3 Bedrooms; 2 full Bathrooms; Multi-Family; Status: For Rent; Parking: off street; Floors: Hardwood; Balcony; Neighborhood:; Zip:; Provided By:
                          Hotpads",,,Bushwick,$950/mo,trulia
,"Brooklyn, NY, 11235, (",29 days on Trulia,1 full Bathroom,2 Bedrooms,Lowest,"Please call: (929) 277-7108 1. Ocean front SEACOST TOWER Building 2. Fully renovated 2 bd apartment with Terrace. 3. New, brand name, kitchen appliances. 4. High floor, good condition, kitchen custom made, build in closets. 5. Very well maintained building. 6. 24 ours doorman, sauna, laundry room. 7. Amazing ocean and Manhattan skyline views from the 16th floor. 8. 5 minutes from the train station and 30 minutes to downtown Manhattan Please call: (929) 277-7108
                      . Ocean front SEACOST TOWER Building 2. Fully renovated 2 bd apartment with Terrace. 3. New, brand name, kitchen","Price: $2,350; Deposit:
                          $2,350; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Cats; Parking: off street; Floors: Hardwood; Neighborhood:; Zip:; 1,000 sqft",,,Brighton Beach,"$2,350/mo",trulia
,"Brooklyn, NY, 11220, (",5 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"AVAILABLE NOW!LARGE Two Bedroom!HARDWOOD FLRS Throughout.Ceilings Fans.WASHER/DRYER in UnitSeparate DINING Area,LARGE EXTENDED Living RoomGreat for a small family or Roommates. (can work for 3 roommates as well)Bedrooms Face the Back very quite!Beautiful Tree Lined Block, D,R Trains a few minutes away.TONS of shopping, restaurants, cafe's, eateries, ETC all along strip of 8th Ave and 5th Ave!","Price: $1,999; 2 Bedrooms; 1 full Bathroom; Multi-Family; Washer; Dryer; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Zealestate Group Inc; 1,200 sqft",,,Sunset Park,"$1,999/mo",trulia
,"Brooklyn, NY, 11235, (",58 days on Trulia,2 full Bathrooms,2 Bedrooms,Lowest,"Stunning 2 bedroom 2 bathroom apartment with balcony & a VIEW! Check out the stunning beach and Ocean views from the private balcony! Washer & Dryer in unit with a list of building amenities featuring - Double swimming pool (indoor & outdoor) parking, laundry, yoga classes, kids room, gym and acres of landscaped gardens. Available now to rent with fast easy access. Parking also available for a separate fee.Rent this fully furnished gem and call Ben for immediate showings!","Price: $3,199; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Washer; Dryer; Status: For Rent; Pets Allowed:; Small dogs; Balcony; Pool; Neighborhood:; Zip:; Provided By:
                          Elbe Real Estate Inc; 1,060 sqft; Waterfront",,,Brighton Beach,"$3,199/mo",trulia
,"Brooklyn, NY, 11222, (",57 days on Trulia,1 full Bathroom,1 Bedroom,Low,"Attention to detail. That is exactly what you will find in this stunningly renovated apartment. All of the windows were custom installed with extra large European style frames which open inward and tilt open for ventilation. The hardwood floors were expertly installed and purposefully selected for their thicker, higher quality wood. The entire unit also sports high ceilings and light dimmers, even in the bathroom! The kitchen is a work of art: Italian marble black-splash, custom cut granite counter-tops with a breakfast bar, extra deep sink with refined adjustable wash wand, and top of","Price: $2,697; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Noble Property Llc",,,Greenpoint,"$2,697/mo",trulia
,"Brooklyn, NY, 11221, (",56 days on Trulia,1 full Bathroom,3 Bedrooms,Low,Brand new building with STUNNING apartments available for February 1st!No fee unitsNet effective rent advertised$50-100 more for outdoor spaceThree bedroom apartmentGood sized bedroomsGreat natural lightingDeep soak bathtubIndividual heat/ac unitsKitchen with dishwasherHardwood floorsGorgeous finishesBuilding offers:Laundry roomBike storageParking spacesElevatorFurnished roof deckResident's loungeFitness centerGaming loungeStudy lounge with WiFiPackage roomShoot me a text to view ASAP!Thank you,"Price: $3,180; Deposit:
                          $3,180; 3 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Pets Allowed:; Cats, Small dogs, Large dogs; Parking: off street; Floors: Hardwood; Balcony; Neighborhood:; Zip:; Provided By:
                          Hotpads; Disabled Access",,,Bushwick,"$3,180/mo",trulia
,"Brooklyn, NY, 11221, (",56 days on Trulia,"1 full, 1 partial Bathrooms",3 Bedrooms,Low,Brand new building with STUNNING apartments available for February 1st!No fee unitsNet effective rent advertised$50-100 more for outdoor spaceThree bedroom apartment1.5 bathrooms for unitGood sized bedroomsGreat natural lightingDeep soak bathtubIndividual heat/ac unitsKitchen with dishwasherHardwood floorsGorgeous finishesBuilding offers:Laundry roomBike storageParking spacesElevatorFurnished roof deckResident's loungeFitness centerGaming loungeStudy lounge with WiFiPackage room,"Price: $3,225; Deposit:
                          $3,225; 3 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Status: For Rent; Pets Allowed:; Cats, Small dogs, Large dogs; Parking: off street; Floors: Hardwood; Balcony; Neighborhood:; Zip:; Provided By:
                          Hotpads; Disabled Access",,,Bushwick,"$3,225/mo",trulia
,"Brooklyn, NY, 11225, (",55 days on Trulia,2 full Bathrooms,3 Bedrooms,High,"LEFFERTS GARDENS / CROWN HEIGHTS VIDEO TOUR goto, youtu.be/VLYDZJlntvs 3 large King Size Bedrooms2 Full size BathroomsLarge Living RoomGood size Dining AreaDISHWASHER can be added, landlord will require $100 additional on the asking rentParking Spot available starting Feb 1st, for $200 additional per monthSeparate but semi open good size Work In Kitchenall Bedrooms are separate, ideal for roommates, couples, familiesCeiling FansHardwood Floorsover sized windowsBay WindowsVery Bright and SunnyVoice IntercomWalk-in Cl","Price: $2,500; 3 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Zealestate Group Inc; 1,200 sqft",,,Prospect Lefferts Gardens,"$2,500/mo",trulia
,"Brooklyn, NY, 11215, (",55 days on Trulia,1 full Bathroom,2 Bedrooms,Lowest,"Quiet 2BR on quiet, residential street with SHARED BACKYARD. Renovated kitchen, lots of cabinets. Bedrooms on opposite sides, french doorsWood floors, full bathroom, great closetsGreat for shares/students (2 people) or SINGLEPets on approval :)Near to trains, shops, laundry, restaurants/bars Available nowCall BROKER for an appointment....PLEASE LEAVE YOUR NUMBER  SHOWING BY APPT ONLY","Price: $1,900; 2 Bedrooms; 1 full Bathroom; Multi-Family; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Dorit Avidar, Lreb; Courtyard; Garden",,,Greenwood,"$1,900/mo",trulia
,"Brooklyn, NY, 11211, (",54 days on Trulia,1 full Bathroom,1 Bedroom,Low,"Spacious 1 bdrm W/ Big Private Terrace Amazing deal !!We have designed the space to give you a sense of spaciousness inside and out, with open lobby and large windows throughout that invite natural light.Apartments features:* oversize rooms with floor-to-ceiling windows throughout, *wide plank 4"" white oak hardwood floors, *Cesar-stone natural quartz counter tops, *top-of-the-line stainless steel kitchen, *pre-wired phone data lines and surround sound speakers hardwired to your personal IPod/Music Dock. Awesome amenities include;*an in","Price: $3,650; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Deck; Status: For Rent; Pool; Neighborhood:; Zip:; Provided By:
                          Halcyon Management Group Llc; 720 sqft; Patio",,,Greenpoint,"$3,650/mo",trulia
,"Brooklyn, NY, 11217, (",51 days on Trulia,"1 full, 1 partial Bathrooms",3 Bedrooms,Lowest,"**FOR IMMEDIATE LEASE START**Welcome Home to this Marvelous Three Bedroom North Park Slope Abode! An unexpected jewel in Brooklyn, this lovely palace offers the convenient amenities of in-unit washer/dryer, dishwasher, central air and outdoor spaces. The beautifully renovated modern alcove kitchen is seamlessly unimposing against the rest of apartment. It has been renovated to provide all stainless steel appliances amid the clean white cabinetry and black/white marble kitchen tile. Large gallery style living room offers the perfect amount of square footage to accommodate a multi","Price: $4,795; 3 Bedrooms; 1 full, 1 partial Bathrooms; Townhouse; Dishwasher; Washer; Dryer; Deck; Status: For Rent; Pets Allowed:; Cats, Small dogs; Neighborhood:; Zip:; Provided By:
                          Sunrise Real Estate; Courtyard",,,Park Slope,"$4,795/mo",trulia
,"Brooklyn, NY, 11215, (",45 days on Trulia,1 full Bathroom,1 Bedroom,Lowest,"Luxury Building ~ 1br w/ BalconyHigh end finishes Prime Williamsburg/Greenpoint2 Blocks to L @ Bedford 2 Blocks to McCarren Park SS Appliances Dish washer included Island kitchen with Granite c. top2 full Marble bath with deep soaking tubWood Flooring ~ Built in A/CWasher and Dryer hook upVideo intercom ~ ipod mount with built in speakersAmenities :24/7 Doorman w/ Concierge , Furnished Roof top , Elevators , Fitness center , Laundry Facilities , Lounge and Parking .Guarantors welcomeLuxury Buildi","Price: $3,000; 1 Bedroom; 1 full Bathroom; Multi-Family; Washer; Dryer; Status: For Rent; Concierge; Neighborhood:; Zip:; Provided By:
                          Fiddler Realty; 658 sqft",,,Gowanus,"$3,000/mo",trulia
,"Brooklyn, NY, 11238, (",44 days on Trulia,2 full Bathrooms,2 Bedrooms,High,BRAND NEW 2 Bedroom/2 Bathroom PENTHOUSE-PARKING SPOT AVAILABLE- HUGE 2 Bedroom with 2 Bathrooms- Gorgeous NEW Kitchen- Stainless Steel Appliances with dishwasher and range- Granite Counter Tops- Brand New Hardwood Floors- Great Natural Light- Laundry In Unit- Bike Racks in Building- Private Balcony- Roof Deck2345 Trains at FRANKLIN AVE only a half block away!Get It Today!,"Price: $3,700; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Deck; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Bohemia Realty Group",,,Crown Heights,"$3,700/mo",trulia
,"Brooklyn, NY, 11201, (",43 days on Trulia,2 full Bathrooms,2 Bedrooms,Low,"ONE or TWO MONTHS FREE RENT AVAILABLE Every detail of this luxury 2 bedroom/ 2 bath unit has been carefully designed for modern living. Breathtaking views, a chef's kitchen that includes beautiful Caesar Stone quartz counter tops, Viscaya glass-tiled backsplash, GE Profile stainless steel appliances with dishwasher and sleek white lacquer kitchen cabinets. The designer bathrooms includes oversized tubs and elegant finishes. Large bedrooms, open layouts and multiple spacious closets create the perfect balance of form and function. Every apartment has high ceilings and stylish ivory o","Price: $3,988; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Parking: garage attached; Concierge; Neighborhood:; Zip:; Provided By:
                          Corcoran; 845 sqft; Patio; Courtyard; Garden",,,Downtown Brooklyn,"$3,988/mo",trulia
,"Brooklyn, NY, 11217, (",43 days on Trulia,2 full Bathrooms,2 Bedrooms,Lowest,"The 12-story Park Slope offers amenity rich, luxurious 1 and 2 bedroom apartments, in one of Brooklyns most charming neighborhoods. Nestled in an ideal location to enjoy the areas local artisanal coffeeshops, hangout at the weekend farmer's market, or grab a late-night meal at one of the neighborhood's famous locally-owned restaurants, residents can take advantage of all of the benefits the neighborhood has to offer. Units are flooded with natural light from oversized windows, encompassing unparalleled design and high-end finishes, including stainless steel appliances, hardwood floors,","Price: $4,350; 2 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Fireplace; Status: For Rent; Parking: garage attached; Concierge; Neighborhood:; Zip:; Provided By:
                          Mirador Marketing; Courtyard",,,Boerum Hill,"$4,350/mo",trulia
,"Brooklyn, NY, 11231, (",42 days on Trulia,1 full Bathroom,2 Bedrooms,Lowest,"Gorgeous Townhouse-Style Multi-Family Unit on Court Street in a beautiful Brooklyn Neighborhood with Outdoor space. Just two flights of stairs to your front door.Feauturing lovely hardwood floors, great sized rooms and lots of sunlight coming in off the spacious rear-facing balcony and Court Street. Extra Large bedroom with huge closets and gorgeous, ultra-quiet balcony to enjoy.Updated Kitchen with Stainless Steel appliances, plenty of counter-space for cooking and entertaining. Your own stainless steel washer & dryer right in the bathroom closet.Artist?","Price: $3,349; 2 Bedrooms; 1 full Bathroom; Townhouse; Washer; Dryer; Status: For Rent; Balcony; Neighborhood:; Zip:; Provided By:
                          Re/max In The City; 1,000 sqft",,,Cobble Hill,"$3,349/mo",trulia
,"Brooklyn, NY, 11220, (",42 days on Trulia,"1 full, 1 partial Bathrooms",4 Bedrooms,Lowest,"Welcome to your future nest; an entire 4-bedroom + sunroom triplex house with 3-garage parking spaces available located in Bay Ridge.Entire home: Semi-renovated triplex home with gorgeous original details in prime Bay Ridge. This one of a kind classic farm styled house is situated on a scenic tree-lined residential block offering 4.5 bedrooms, sunroom, exclusive backyard, 4 parking indoor garage spaces (additional cost), and laundry onsite. The classic home promises ample space and regal style, in large part due to the working fireplace, high ceilings, reclaimed wood moldings an","Price: $3,795; 4 Bedrooms; 1 full, 1 partial Bathrooms; Single-Family Home; Dishwasher; Washer; Dryer; Fireplace; Status: For Rent; Parking: garage attached; Neighborhood:; Zip:; Provided By:
                          Citi Nest Group Llc; Patio",,,Bay Ridge & Fort Hamilton,"$3,795/mo",trulia
,"Brooklyn, NY, 11210, (",41 days on Trulia,1 full Bathroom,2 Bedrooms,Low,"Very Large, renovated 2BR in Prewar BuildingSeparate eat-in-kitchen, stainless steel appliancesSpacious living room, exposed brick, lots of sunlight!1.5 Bathroom, great closets, high ceilings, lots of windowsGreat for shares/couple, working professional or students Income approx 40 times X the rent. $80,000. Guarantor is ok :)B/Q train at Newkirk Plaza Station; 2/5 Train at Newkirk Ave, B49 busNear Shopping Laundry Cafes Restaurants Milk & Honey Cafe, Flatbush Food Coop on Cortelyou RoadPets on approval :) SHOWING ALL WEEK & WEEKENDAvailable n","Price: $2,000; 2 Bedrooms; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Dorit Avidar, Lreb; 900 sqft",,,Flatbush - Ditmas Park,"$2,000/mo",trulia
,"Brooklyn, NY, 11217, (",40 days on Trulia,1 full Bathroom,1 Bedroom,Highest,"This 1 Bedroom home greets you with high ceilings complimented by the floor to ceiling windows which allow the morning light to fill every inch of this residence. The kitchen features black honed granite, stainless steel appliances and Kohler fixtures. The luxury bathroom is finished with slate tile work, white quartz counters and Kohler fixtures. 66 Rockwell offers luxury in house valet service for the Residence. Wash & Fold, Dry Cleaning and packages right to your door and delivered into your home if you prefer. Services available also include, expert tailoring, same day press","Price: $3,150; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Status: For Rent; Parking: garage attached; Neighborhood:; Zip:; Provided By:
                          The Dermot Realty Management Company; 660 sqft; Garden",,,Fort Greene,"$3,150/mo",trulia
,"Brooklyn, NY, 11201, (",40 days on Trulia,2 full Bathrooms,4 Bedrooms,Low,"Furnished 4 Bed / 2 Bath duplex rental. Spacious, sunny and newly renovated. Enjoy comfortable living on one of Brooklyn's most sought after strips. Modern finishes & fixtures, washer/dryer in-unit, walk out balcony space, and prime Cobble Hill at your doorstep.Please don't hesitate to reach out for a private apartment.","Price: $6,900; 4 Bedrooms; 2 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Neighborhood:; Zip:; Provided By:
                          Novo",,,Cobble Hill,"$6,900/mo",trulia
,"Brooklyn, NY, 11201, (",40 days on Trulia,1 full Bathroom,1 Bedroom,Low,"The Advertised rent is net effective based on a 12 month lease with 1 month free OR 2 months free on 24 month lease, the gross is $3,495. Send out the announcement because this is the one! Amazing city and river views! Oversized windows with tons of natural light, elegant ivory oak strip flooring and chic finishes make you feel right at home. The stylish kitchen includes CaesarStone countertops with Viscaya glass-tiled backsplashes, stainless steel GE Profile appliances, sleek white lacquer kitchen cabinets and Modern Casalgrande Titano tile flooring. Bathroom is large and luxurious wit","Price: $3,204; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Parking: garage attached; Concierge; Neighborhood:; Zip:; Provided By:
                          Corcoran; 621 sqft; Patio; Courtyard; Garden",,,Downtown Brooklyn,"$3,204/mo",trulia
,"Brooklyn, NY, 11234, (",36 days on Trulia,"1 full, 1 partial Bathrooms",3 Bedrooms,Lowest,"Beautiful 3 Bedroom Duplex In The Flatlands Area Of Brooklyn! Hardwood Floors! Chandeliers! Recessed Lighting! Lots Of Storage Space! Duplex! Near Lots Of Shopping! Near B47, B82, And Bm1 Buses! 1.5 Baths! Newly Renovated! Front And Back Porch! Truly A Must See Apt! Contact Gary ASAP To Schedule A Viewing! (917) 435-9949 Act Fast This Wont Last Long!!","Price: $2,300; 3 Bedrooms; 1 full, 1 partial Bathrooms; Multi-Family; Status: For Rent; Neighborhood:; MLS/Source ID: 14223; Zip:; Provided By:
                          Century 21 Achievers",,,Flatlands,"$2,300/mo",trulia
,"Brooklyn, NY, 11201, (",35 days on Trulia,1 full Bathroom,1 Bedroom,Low,"Apartment 15A is a Luxurious corner 1 Bed/1 Bath 674 Sq Ft with a 111 Sq Ft Balcony with amazing city views facing North and West. Nothing common here for sure.... A stylish kitchen includes CaesarStone counter tops with Viscaya glass-tiled back splash, stainless steel GE Profile appliances, sleek white lacquer kitchen cabinets and Modern Casalgrande Titano tile flooring. Bathroom is large and luxurious with huge mirror and ample storage. Every apartment has a Bosch Washer and Dryer. Wait, there is more! The Margo is a full service building with 24 hour concierge, fitness center, wood p","Price: $3,900; 1 Bedroom; 1 full Bathroom; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Parking: garage attached; Balcony; Concierge; Neighborhood:; Zip:; Provided By:
                          Corcoran; 674 sqft; Patio; Courtyard; Garden",,,Downtown Brooklyn,"$3,900/mo",trulia
,"Brooklyn, NY, 11231, (",35 days on Trulia,3 full Bathrooms,5 Bedrooms,Lowest,"Live in the ultimate duplex in PRIME Carroll Gardens (on border of Cobble Hill), this duplex boasts 5 queen sized bedrooms (3 downstairs and 2 upstairs), a killer private backyard, an in unit washer and dryer and a brand new kitchen stocked with sleek new stainless steel appliances. Not only do you have a ballin' out apt, but you're in one of the best neighborhoods for restaurants in all of NYC. Steps from the best burrito in NYC, Buddy's Burrito on Court. Amazingly delicious and unbelievably priced thai at Joya and one of the oldest classic mom and pop movie theatres left in NY","Price: $6,212; 5 Bedrooms; 3 full Bathrooms; Multi-Family; Dishwasher; Washer; Dryer; Status: For Rent; Pets Allowed:; Small dogs; Neighborhood:; Zip:; Provided By:
                          Nooklyn.com Llc; Courtyard; Garden",,,Carroll Gardens,"$6,212/mo",trulia
